year,date,temp_mean,temp_min,temp_max,hum_mean,light_mean,light_max,st1,st2,st3,st4,sm1,sm2,sm3,sm4,ph,salt,pest_count,lure_count,spore_count,label
2024,2024-05-24,16.666666666666668,14.4,21.2,48.6,159569.9,159569.9,,,,,,,,,,,0.0,0.0,0.0,0
2024,2024-05-29,,,,,,,20.05,14.15,12.4,12.0,7.25,37.4,38.1,35.05,,,0.0,0.0,0.0,2
2024,2024-06-20,,,,,,,18.417450993555317,17.88615445879309,17.110293977638904,16.047662368176937,21.324470927725155,20.422108843537416,16.686216922175568,15.595197520994043,7.217540378317701,0.0167503141279584,0.0,0.0,0.0,2
2024,2024-06-21,,,,,,,16.67098558435429,16.444958231491686,15.99782413165688,15.328041558939516,19.05937052511809,17.91481291762132,14.207085059589115,13.539921242058307,7.198588896665504,0.0102415009564004,0.0,0.0,0.0,2
2024,2024-06-22,18.108771929824563,15.1,20.3,75.05087719298245,291416.7175438597,643834.6,16.988626012145748,16.318990384615383,15.718409244264508,15.086541835357623,18.92974190283401,17.829278002699056,14.316540148448045,13.70469129554656,7.138408452808698,0.011016668494152,0.0,0.0,0.0,2
2024,2024-06-23,18.051041666666663,13.1,23.3,72.35416666666667,367676.40208333335,653793.2,18.78040991902834,17.53562331309042,16.43256157219973,15.466108299595142,18.936826923076925,17.877543859649123,14.426729082321186,13.80842189608637,7.1126827520867515,0.0112107648026315,0.0,0.0,0.0,2
2024,2024-06-24,15.252020014825796,12.65,19.299999999999997,87.16265752409191,200253.30083395107,611489.3500000001,18.185593018271163,17.77039154378263,16.99513754841164,16.036464310203232,17.714657298971787,16.501770488442705,14.024505051448656,13.755905985178307,7.171411958872843,0.0126043184994463,1.0,0.0,0.0,2
2024,2024-06-25,18.982846423885537,12.483333333333334,23.166666666666668,59.50684486126982,115583.2969827368,535480.1166666667,19.097403958663996,18.02388491371598,16.96556966375878,16.017076983461905,16.482551834264868,15.977298762201473,14.086209590837434,14.548794528077812,7.166091388733333,0.0122232453740855,0.0,0.0,9.0,2
2024,2024-06-26,21.801939378148344,15.066666666666668,27.516666666666666,68.35918611762492,47084.22466922514,193662.45,20.42668555068226,19.012459186159845,17.697568835282652,16.519293981481482,16.348679337231967,15.978404605263158,14.190603070175438,14.86111111111111,7.197685883824191,0.0120382668585526,0.0,0.0,5.0,2
2024,2024-06-27,24.033464912280703,17.849999999999998,29.766666666666666,67.3587865497076,34721.72333516082,93908.11666666664,22.544874824680264,20.61398856855893,18.835795654447775,17.319562725835592,16.369767329910143,16.09877100865307,14.292153089787478,14.934697127727857,7.212931096285363,0.0114691314436557,0.0,0.0,3.0,2
2024,2024-06-28,23.89871378671378,19.783333333333335,29.416666666666668,75.06581375489986,23189.466890240776,107221.6,22.93900253971965,21.428531123050092,19.793447099208684,18.212002906472726,16.21847756063879,16.07915884817727,14.34614209324828,15.019920519952391,7.278405174839711,0.0116460220093913,4.0,1.0,1.0,2
2024,2024-06-29,22.17517361111111,18.683333333333337,26.233333333333334,85.27100694444444,12443.392881944446,80200.73333333334,22.34214059454191,21.432033991228067,20.149729532163743,18.72790996588694,16.038933357699804,16.00519675925926,14.319225755360623,15.049445053606238,7.205111434286291,0.0115779393587578,0.0,0.0,8.0,2
2024,2024-06-30,16.483689692982455,13.166666666666666,19.65,95.11688230994152,6540.686538742691,34834.9,19.379951876218325,19.921572855750487,19.54954251949318,18.658974780701755,18.369120979532163,17.12715155945419,14.92558723196881,15.451070297270954,7.175193348241745,0.0131698415829746,0.0,1.0,3.0,2
2024,2024-07-01,19.6472057748538,11.9,26.25,70.26211440058479,34942.28854532164,99961.38333333336,18.857649244639376,18.48639254385965,18.20729227582846,17.78584734405458,20.301415692007797,18.667796052631576,16.114524244639377,16.1929873294347,7.120294059914459,0.0145110812389971,1.0,0.0,4.0,2
2024,2024-07-02,22.4381067251462,14.8,28.316666666666663,72.58487938596491,28121.193004385965,92682.65,20.880006091617936,19.614097831384015,18.642355628654972,17.79052936159844,19.324796539961017,18.34937865497076,16.037983674463938,16.1592556042885,7.145396213341063,0.0142416073271413,1.0,0.0,8.0,2
2024,2024-07-03,25.24519371345029,20.066666666666663,30.46666666666667,77.98693713450292,29000.028483187136,94473.71666666667,23.84837049220273,21.79706079434698,20.008520955165693,18.549728313840156,18.84903874269006,18.168340034113054,15.98832541423002,16.205389254385963,7.16546126868345,0.0143146895815742,1.0,0.0,6.0,2
2024,2024-07-04,25.63816703216374,18.933333333333337,31.266666666666666,71.17828947368422,29517.556211622807,84405.7,24.73195967348928,22.965843079922028,21.18288803606238,19.540132797270957,18.315620126705653,17.939034478557502,15.926776924951266,16.253774366471735,7.171219798093606,0.0144190499226006,1.0,0.0,16.0,2
2024,2024-07-05,25.30516812865497,21.2,29.633333333333336,78.2116739766082,21821.213349780704,64722.48333333334,25.45139315302144,23.765366715399608,22.014737451267056,20.33232456140351,17.87727643762183,17.65690911306043,15.795923489278753,16.234739278752436,7.177884835965155,0.0144512564499483,1.0,1.0,0.0,2
2024,2024-07-06,25.62257309941521,21.1,30.183333333333337,85.28860380116959,16369.049881213448,60298.68333333333,25.829912280701752,24.251915813840156,22.574368908382063,20.918044590643277,17.535178484405456,17.412909356725145,15.69010843079922,16.183209064327485,7.18041333208324,0.0142585872567897,0.0,1.0,0.0,2
2024,2024-07-07,24.40154057017544,19.033333333333335,31.05,85.19175986842106,16486.949556443193,67961.21666666666,25.54543555068226,24.37085038986355,22.8972520711501,21.339527899610136,17.181409600389866,17.15817190545809,15.54194322612086,16.101720272904483,7.206719766743839,0.0141882874800637,0.0,0.0,3.0,2
2024,2024-07-08,19.685954829602743,17.466666666666665,21.733333333333334,76.26607178866708,22970.090481952007,93382.91666666669,23.51470458892865,22.908756919736188,22.17666848382727,21.19542343259929,16.623077540920292,16.701965894344927,15.281283188814948,15.952036786394196,7.252137521933349,0.0137748899098228,0.0,0.0,10.0,2
2024,2024-07-09,16.245138380138382,13.55,20.6,85.50163003663003,16978.77806064306,91460.55,20.755697327363993,21.423170533170538,21.2993779677113,20.67852530185864,17.46447564780898,16.72794125627459,15.182520010853343,15.837320580653916,7.168708463815067,0.0136526028873087,0.0,0.0,6.0,2
2024,2024-07-10,16.820537280701753,11.583333333333334,20.95,88.53000000000002,16494.416315789476,121444.08333333331,19.647155214424952,20.101221369395713,20.155796783625732,19.83539717348928,17.51006274366472,16.714482821637425,15.080158382066278,15.742415935672517,7.148264947472124,0.0134302255136504,0.0,0.0,5.0,2
2024,2024-07-11,15.591111111111111,-0.916666666666666,18.666666666666668,85.92885078387458,15268.78807441365,94160.61666666664,18.547992811890836,19.170247928849903,19.351692251461987,19.164869030214422,20.262574926900584,18.586560063352824,16.504362816764132,17.38632797270955,7.17530009767691,0.0157917272961816,0.0,0.0,8.0,1
